1479,USS6,CDS6B,CBLOX,CH1CDS6BWBX1B,192.168.3.196
147,USS5,CDS5B,9510-RTU,CH1CDS5BADR,192.168.0.177
216,USS1,MDS1A,9610-PM,CH1MDS1A1PM,192.168.1.57
1546,USS5,CDS5B,CBLOX,CH1CDS5BWBX1A,192.168.3.179
1549,USS5,CDS5B,CBLOX,CH1CDS5BWBX1B,192.168.3.180
995,CDP,CDP,9610-PM,CH1CDPRM1_1,192.168.1.96
6,USS1,USS1B,9610-PM,CH1USS1BMVPM,192.168.0.119
996,CDP,CDP,9610-PM,CH1CDPR1_1,192.168.1.97
227,USS1,CDS1B,CBLOX,CH1CDS1BWBX1A,192.168.3.115
228,USS1,CDS1B,CBLOX,CH1CDS1BWBX1B,192.168.3.116
229,USS1,CDS1B,CBLOX,CH1CDS1BWBX2A,192.168.3.113
3,USS1,USS1A,9510-RTU,CH1USS1ALVADR,192.168.0.116
7,USS1,USS1B,9610-PM,CH1USS1BLVPM,192.168.0.120
8,USS1,USS1B,9510-RTU,CH1USS1BLVADR,192.168.0.121
22,USS2,CDS2B,9510-RTU,CH1CDS2BADR,192.168.0.135
243,USS2,CDS2B,CBLOX,CH1CDS2BWBX1A,192.168.3.131
244,USS2,CDS2B,CBLOX,CH1CDS2BWBX1B,192.168.3.132
455,USS11,MDS11B,9610-PM,CH1MDS11B1PM,192.168.1.55
458,USS11,MDS11B,9610-PM,CH1MDS11B2PM,192.168.1.56
217,USS1,MDS1A,9610-PM,CH1MDS1A11PM,192.168.1.59
