LocationID,IPaddress,Group
07_EL_BL_1_1,10.128.42.8,PTL
07_EL_BL_1_2,10.128.42.9,PTL
07_EL_BL_1_3,10.128.42.102,PTL
07_EL_BL_100_1,10.128.42.11,PTL
11_EL_BL_1_1 ,10.128.143.8,ASW1 
11_EL_BL_11_1,10.128.143.9,ASW2
11_EL_BL_11_2,10.128.143.10,ASW1
11_EL_BL_12_1,10.128.143.111,ASW2
11_EL_BL_17_1,10.128.143.12,ASW1
11_EL_BL_17_2,10.128.143.13,ASW2
11_EL_BL_17_3,10.128.143.141,ASW1
11_EL_BL_18_1,10.128.143.15,ASW2
24_EL_BL_1_1,10.128.100.8,OTC 
24_EL_BL_1_2,10.128.100.9,OTC 
24_EL_BL_1_3,10.128.100.101,OTC
24_EL_BL_1_4,10.128.100.11,OTC
